ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
18563,LPPA,4250,100,Lecture,3,Molly Johnson,TuTh 11:00AM - 12:15PM,Rouss Hall 403,Choice and Consequences: The Economics of Public Policy,,Wait List,48,48,2
19644,LPPA,4250,101,Discussion,0,Olivia Davis,Mo 7:00PM - 7:50PM,The Rotunda Room 150,Choice and Consequences: The Economics of Public Policy,,Wait List,23,23,1
19645,LPPA,4250,102,Discussion,0,Olivia Davis,We 6:00PM - 6:50PM,The Rotunda Room 150,Choice and Consequences: The Economics of Public Policy,,Wait List,25,25,1
18564,LPPA,4250,200,Lecture,3,Molly Johnson,TuTh 2:00PM - 3:15PM,Rouss Hall 403,Choice and Consequences: The Economics of Public Policy,,Open,27,48,0
19646,LPPA,4250,201,Discussion,0,Aidan Brown,Mo 6:00PM - 6:50PM,New Cabell Hall 368,Choice and Consequences: The Economics of Public Policy,,Open,17,24,0
19647,LPPA,4250,202,Discussion,0,Aidan Brown,We 7:00PM - 7:50PM,The Rotunda Room 150,Choice and Consequences: The Economics of Public Policy,,Open,10,24,0
18833,LPPA,7035,1,Seminar,3,William Shobe,We 3:30PM - 6:00PM,Nau Hall 211,Benefit-Cost Analysis,,Open,29,30,0
18582,LPPA,7110,100,Lecture,3,Jay Shimshack,TuTh 9:30AM - 10:45AM,Monroe Hall 122,Economics of Public Policy II,,Wait List,45,44,1
19648,LPPA,7110,101,Discussion,0,Naomi Gaba,Tu 5:00PM - 5:50PM,Lower West Oval Room 102,Economics of Public Policy II,,Open,18,20,0
19649,LPPA,7110,102,Discussion,0,Naomi Gaba,Tu 1:00PM - 1:50PM,Lower West Oval Room 102,Economics of Public Policy II,,Wait List,25,25,1
18583,LPPA,7110,200,Lecture,3,Jay Shimshack,TuTh 12:30PM - 1:45PM,Monroe Hall 122,Economics of Public Policy II,,Open,35,44,0
19650,LPPA,7110,201,Discussion,0,Caroline Shoaibi,Tu 11:00AM - 11:50AM,Lower West Oval Room 102,Economics of Public Policy II,,Wait List,23,22,0
19651,LPPA,7110,202,Discussion,0,Caroline Shoaibi,We 5:00PM - 5:50PM,The Rotunda Room 150,Economics of Public Policy II,,Open,12,22,0
18830,LPPA,7160,100,Lecture,3,D Tello-Trillo,MoWe 8:45AM - 10:00AM,Monroe Hall 122,Research Methods and Data Analysis II,,Open,37,44,0
19652,LPPA,7160,101,Discussion,0,Caroline Snead,We 11:00AM - 11:50AM,Maury Hall 110,Research Methods and Data Analysis II,,Open,21,22,0
19653,LPPA,7160,102,Discussion,0,Caroline Snead,Tu 2:00PM - 2:50PM,Lower West Oval Room 102,Research Methods and Data Analysis II,,Open,16,22,0
18831,LPPA,7160,200,Lecture,3,Sally Hudson,MoWe 10:15AM - 11:30AM,Monroe Hall 122,Research Methods and Data Analysis II,,Open,45,46,0
19654,LPPA,7160,201,Discussion,0,Carolyn Ours,We 9:00AM - 9:50AM,Maury Hall 110,Research Methods and Data Analysis II,,Wait List,26,25,0
19655,LPPA,7160,202,Discussion,0,Carolyn Ours,Th 5:00PM - 5:50PM,Monroe Hall 122,Research Methods and Data Analysis II,,Open,19,21,0
18835,LPPA,8680,1,Lecture,3,Sarah Turner,MoWe 2:00PM - 3:15PM,Ruffner Hall 173,Economics of Higher Education Policy,,Open,5,10,0
20282,LPPL,2100,100,Lecture,2,Timothy Davis,Mo 1:00PM - 1:50PM,Ruffner Hall G004,"The Resilient Student: Transition, Thriving, and Leadership",,Open,73,75,12
20283,LPPL,2100,101,Discussion,0,"Megan Maddox,Timothy Davis",We 12:00PM - 12:50PM,New Cabell Hall 068,"The Resilient Student: Transition, Thriving, and Leadership",,Wait List,15,15,4
